Sample ID,Type,Laboratory,Outcrop,Formation,Epoch,Sample collection
SP6,Covered,UB,Cabo S. Vicente,Carixian,Lower Jurassic,2021
SP7,Covered,UB,Cabo S. Vicente,Carixian,Lower Jurassic,2021
SP9,Covered,UB,Ponta dos Altos,Carixian,Lower Jurassic,2021
SP10,Covered,UB,Ponta dos Altos,Carixian,Lower Jurassic,2021
SP14,Covered,UB,Praia Belixe,Carixian,Lower Jurassic,2021
SP15,Covered,UB,Praia Belixe,Carixian,Lower Jurassic,2021
SP18,Covered,UB,Praia Belixe,Carixian,Lower Jurassic,2021
SP21,Covered,UB,Belixe Sul,Carixian,Lower Jurassic,2021
SP23,Covered,UB,Belixe Norte,Carixian,Lower Jurassic,2021
SP24,Covered,UB,Cabo S. Vicente,Carixian,Lower Jurassic,2021
SP27,Covered,UB,Cabo S. Vicente,Carixian,Lower Jurassic,2021
SP28,Covered,UB,Aspa,Carixian,Lower Jurassic,2021
SP32,Covered,UB,Foz dos Fornos,Carixian,Lower Jurassic,2021
SP33,Covered,UB,Foz dos Fornos,Carixian,Lower Jurassic,2021
SP34,Covered,UB,Ponta dos Altos,Carixian,Lower Jurassic,2021
SP34,Covered,UB,Ponta dos Altos,Carixian,Lower Jurassic,2021
SP36,Covered,UB,Ponta da Atalaia,Kimmeridgian,Upper Jurassic,2021
SP39,Covered,UB,Andorinha,Kimmeridgian,Upper Jurassic,2021
SP40,Covered,UB,Ferrel,Carixian,Lower Jurassic,2021
SP42,Covered,UB,Boca do Rio,N/A,N/A,2021
SP59,Covered,TSL,Jordana,Jordana,Upper Jurassic,2022
SP61,Covered,TSL,Peral,N/A,Upper Jurassic,2022
SP56,Covered,TSL,Jordana,Jordana,Upper Jurassic,2022
SP54,Covered,TSL,Guilhim,Malhão,N/A,2022
SP53,Covered,TSL,Guilhim,Malhão,Middle Jurassic,2022
SP58,Covered,TSL,Jordana,Jordana,Upper Jurassic,2022
SP55,Covered,TSL,Caliços,Malhão,Middle Jurassic,2022
SP50,Covered,TSL,Casal da Colina,Malhão,Middle Jurassic,2022
SP52,Covered,TSL,Casal da Colina,Malhão,Middle Jurassic,2022
RT82,Covered,TSL,Praia Belixe,N/A,N/A,<2021
