ID,YEAR,CLASS,LEVEL,UNIT,COREPREPPROD,PIECECOMPLETENESS,CORTEX,CORTEXLOCATION,PLATFORMTYPE,SCARCOUNT,THICKNESS,MAXWIDTH,LENGTH,COREPLATFORM,COREABANDON,RETOUCHEDPIECETYPOLOGY
2698,2005,Retouched piece,A,H16,,,,,,3,4.75,9.95,24.28,,,Shouldered point
638,2005,Retouched piece,A,F15,,,,,,3,3.18,8.01,17.5,,,Shouldered point
2371,2005,Retouched piece,A,H16,,,,,,5,3.45,11.15,26.66,,,Shouldered point
1646,2006,Retouched piece,A,J16,,,,,,3,3.14,7.71,20.17,,,Shouldered point
2297,2005,Retouched piece fragment,A,H16,,Proximal,,,,2,3.87,9.3,,,,Shouldered point fragment
279,2006,Retouched piece,A,I15,,,,,,,2.55,7.5,16.34,,,Shouldered point
903,2006,Retouched piece fragment,A,G16,,Mesial,,,,3,2.06,8.04,,,,Shouldered point fragment
443,2007,Retouched piece,A,H17,,,,,,3,5.45,6.73,16.78,,,Shouldered point
455,2007,Retouched piece,B,K16,,,,,,3,4.9,14.67,42.91,,,Shouldered point
1646,2007,Retouched piece fragment,B,G18,,Distal,,,,3,3.01,7.92,,,,Shouldered point fragment
407,2008,Retouched piece,B,G17,,,,,,2,1.68,4.63,17.3,,,Shouldered point
1452,2007,Retouched piece fragment,B,I18,,Proximal,,,,4,4.89,16.6,,,,Shouldered point fragment
1587,2007,Retouched piece fragment,B,I18,,Proximal,,,,3,3.03,6.48,,,,Shouldered point fragment
1406,2008,Retouched piece,C,G18,,,,,,2,3.09,7.66,22.64,,,Shouldered point
5086,2008,Retouched piece fragment,C,H18,,Mesial,,,,3,6.43,15.86,,,,Shouldered point fragment
1744,2006,Retouched piece,A,J16,,,,,,,4.7,20.31,46.3,,,Laurel leaf
2111,2005,Retouched piece fragment,A,H16,,Other,,,,,4.75,16.04,,,,Bifacial fragment
2296,2005,Retouched piece fragment,A,H16,,Other,,,,,2.57,,,,,Bifacial fragment
432,2005,Retouched piece fragment,A,F15,,Mesial,,,,,2.07,,,,,Bifacial fragment
1578,2006,Retouched piece fragment,A,J16,,Other,,,,,4.27,14.49,,,,Bifacial fragment
1293,2005,Retouched piece,A,H13,,,,,,,13.77,25.32,38.82,,,Bifacial blank
2848,2005,Retouched piece fragment,A,H15,,Distal/proximal,,,,,9.38,25.13,,,,Bifacial blank
578,2006,Retouched piece fragment,A,I16,,Distal/proximal,,,,,8.36,,,,,Bifacial blank
730,2006,Retouched piece fragment,A,G16,,Distal/proximal,,,,,9.73,32.38,,,,Bifacial blank
4833,2008,Retouched piece fragment,C,K15,,Distal/proximal,,,,,2.38,,,,,Bifacial fragment
4771,2008,Retouched piece fragment,C,H18,,Distal/proximal,,,,,2.96,,,,,Bifacial fragment
376,2006,Retouched piece fragment,B,H15,,Distal/proximal,,,,,4.09,,,,,Bifacial fragment
2265,2006,Retouched piece fragment,B,J16,,Distal/proximal,,,,,7.45,30.9,,,,Bifacial blank
3204,2008,Retouched piece fragment,B,J15,,Distal/proximal,,,,,10.74,35.68,,,,Bifacial blank
1293,2007,Retouched piece fragment,B,I17,,Other,,,,,21.23,31.77,,,,Bifacial blank
2665,2008,Retouched piece fragment,B,J15,,Distal,,,,,10.45,32.45,,,,Bifacial blank
1488,2007,Retouched piece fragment,B,H17,,Distal/proximal,,,,,5.7,26.45,,,,Bifacial fragment
1018,2008,Retouched piece fragment,B,G17,,Distal,,,,,15.28,30.34,,,,Bifacial blank
1516,2007,Retouched piece fragment,B,H17,,Distal,,,,,7.79,,,,,Bifacial blank
5695,2008,Retouched piece fragment,B,K14,,Distal/proximal,,,,,5.25,16.81,,,,Bifacial blank
175,2006,Retouched piece fragment,B,H15,,Distal/proximal,,,,,8.5,24.17,,,,Bifacial blank
1410,2007,Retouched piece fragment,B,H17,,Distal/proximal,,,,,6.18,,,,,Bifacial blank
1115,2008,Retouched piece fragment,B,I17,,Mesial,,,,,7.58,22.04,,,,Bifacial fragment
4616,2008,Retouched piece fragment,B,J14,,Distal,,,,,8,30.2,,,,Bifacial fragment
208,2006,Retouched piece fragment,B,G15,,proximal,,,,,3,12.92,,,,Bifacial fragment
157,2008,Retouched piece fragment,B,G17,,Mesial,,,,,2.69,16.65,,,,Bifacial fragment
1150,2006,Retouched piece fragment,B,I16,,Distal/proximal,,,,,5.87,17.75,,,,Bifacial fragment
1276,2007,Retouched piece fragment,B,I17,,Distal/proximal,,,,,2.63,,,,,Bifacial fragment
5138,2008,Retouched piece fragment,C,H18,,Mesial,,,,,13.36,42.96,,,,Bifacial blank
5158,2008,Retouched piece fragment,C,I17,,Other,,,,,17.36,33.78,,,,Bifacial blank
6022,2008,Retouched piece fragment,C,G18,,Other,,,,,10.81,21.8,,,,Bifacial blank
4623,2008,Retouched piece fragment,C,H18,,Distal/proximal,,,,,14.57,48.16,,,,Bifacial blank
5666,2008,Retouched piece fragment,C,J16,,Distal/proximal,,,,,6.81,,,,,Bifacial blank
1281,2006,Retouched piece,C,I16,,,,,,,9.45,20.16,36.45,,,Bifacial blank
5859,2008,Retouched piece fragment,C,J16,,Distal/proximal,,,,,4.41,,,,,Bifacial fragment
16,2005,Retouched piece,A,F15,,,,,,,6.42,21.49,49.07,,,Tanged and winged point
1750,2005,Retouched piece fragment,A,G15,,Distal/proximal,,,,,2.9,,33.01,,,Tanged and winged point
1663,2005,Retouched piece fragment,A,H16,,Distal/proximal,,,,,2.19,,,,,Tanged and winged point
2699,2008,Retouched piece fragment,B,J15,,Proximal,,,,,3.98,18.7,,,,Tanged and winged point
2745,2008,Retouched piece fragment,B,K15,,Distal,,,,,5.27,23.12,34.32,,,Tanged and winged point
1348,2006,Retouched piece fragment,B,I16,,Proximal,,,,,3.38,17.75,,,,Tanged and winged point
5948,2008,Retouched piece fragment,B,K14,,Proximal,,,,,4.79,20.29,,,,Tanged and winged point
1144,2007,Retouched piece fragment,B,I18,,Proximal,,,,,7,31.43,,,,Tanged and winged point
515,2006,Retouched piece fragment,C,H16,,Proximal,,,,,4.25,23.91,,,,Tanged and winged point
1506,2006,Retouched piece fragment,C,I16,,Proximal,,,,,5.74,28.38,,,,Tanged and winged point
6013,2008,Retouched piece fragment,C,J16,,Proximal,,,,,5.99,25.51,,,,Tanged and winged point
